AYPY,POM,杰克逊斯机场,147.218,-9.442,PG,巴布亚新几内亚,,,,,,
NZAA,AKL,奥克兰国际机场,174.792,-37.008,NZ,新西兰,,,,,,
NZCH,CHC,克赖斯特彻奇国际机场,172.535,-43.49,NZ,新西兰,,,,,,
OBBI,BAH,巴林国际机场,50.633,26.272,BH,巴林,,,,,,
OEDF,DMM,达曼/法赫德国王机场,49.798,26.472,SA,沙特阿拉伯,,,,,,
OEJN,JED,吉达/阿扑杜勒阿齐兹机场,39.155,21.682,SA,沙特阿拉伯,,,,,,
OEMA,MED,麦迪那国际机场,39.705,24.552,SA,沙特阿拉伯,,,,,,
OERK,RUH,利雅得哈立德机场,46.708,24.963,SA,沙特阿拉伯,,,,,,
OKBK,KWI,科威特国际机场,47.968,29.227,KW,科威特,,,,,,
OMAA,AUH,阿布扎比国际机场,54.652,24.433,AE,阿联酋,,,,,,
OMAL,AAN,艾因国际机场,55.61,24.262,AE,阿联酋,,,,,,
OMDB,DXB,迪拜,55.365,25.253,AE,阿联酋,,,,,,
OMFJ,FJR,富查伊拉,56.33,25.11,AE,阿联酋,,,,,,
OMRK,RKT,哈伊马角国际机场,55.938,25.613,AE,阿联酋,,,,,,
OMSJ,SHJ,沙迦国际机场,55.517,25.33,AE,阿联酋,,,,,,
OOMS,MCT,马斯喀特/锡卜国际机场,58.282,23.593,OM,阿曼,,,,,,
OPKC,KHI,卡拉奇,67.163,24.908,PK,巴基斯坦,,,,,,
OPLA,LHE,拉合尔机场,74.405,31.522,PK,巴基斯坦,,,,,,
OPNH,WNS,纳瓦布沙阿机场,68.39,26.22,PK,巴基斯坦,,,,,,
OPPS,PEW,白沙瓦机场,71.515,33.993,PK,巴基斯坦,,,,,,
OPRN,ISB,伊斯兰堡查克拉拉机场,73.098,33.617,PK,巴基斯坦,,,,,,
OTBD,DOH,多哈国际机场,51.565,25.262,QA,卡塔尔,,,,,,
PAFA,FAI,费尔班克斯国际机场,-147.86,64.813,US,美国,,,,,,
PANC,ANC,安克雷齐国际机场,-149.997,61.175,US,美国,,,,,,
PASY,SYA,谢米雅,174.108,52.707,US,美国,,,,,,
PGSN,SPN,塞班国际机场,145.73,15.118,US,美国,,,,,,
PGUM,GUM,关岛/阿加尼亚海军航站,144.797,13.483,US,美国,,,,,,
PHKO,KOA,科纳,-156.045,19.738,US,美国,,,,,,
PHNL,HNL,檀香山国际机场,-157.922,21.318,US,美国,,,,,,
PHOG,OGG,卡胡卢伊机场,-156.43,20.898,US,美国,,,,,,
RCKH,KHH,高雄机场*,120.35,22.577,TW,中国台湾,,,,,,
RCMQ,RMQ,台中清泉岗,120.619,24.259,TW,中国台湾,,,,,,
RCSS,TSA,松山机场,121.552,25.07,TW,中国台湾,,,,,,
RCTP,TPE,台北国际机场*,121.232,25.08,TW,中国台湾,,,,,,
RCYU,HUN,花莲,121.606,24.021,TW,中国台湾,,,,,,
RJAA,NRT,成田机场,140.387,35.765,JP,日本,,,,,,
RJAF,MMJ,松本,137.923,36.167,JP,日本,,,,,,
RJBB,KIX,大阪,135.245,34.427,JP,日本,,,,,,
RJCC,CTS,札幌/新千岁机场,141.693,42.775,JP,日本,,,,,,
RJCH,HKD,函馆机场,140.822,41.77,JP,日本,,,,,,
RJFF,FUK,福冈,130.452,33.585,JP,日本,,,,,,
RJFK,KOJ,鹿儿岛机场,130.72,31.803,JP,日本,,,,,,
RJFM,KMI,宫崎,131.452,31.873,JP,日本,,,,,,
RJFO,OIT,大分,131.737,33.48,JP,日本,,,,,,
RJFR,KKJ,北九州,131.035,33.845,JP,日本,,,,,,
RJFS,HSG,佐贺机场,130.302,33.15,JP,日本,,,,,,
RJFT,KMJ,熊本机场,130.855,32.837,JP,日本,,,,,,
RJFU,NGS,长崎机场,129.913,32.917,JP,日本,,,,,,
RJGG,NGO,名古屋中部机场,136.805,34.858,JP,日本,,,,,,
RJNT,TOY,富山,137.188,36.648,JP,日本,,,,,,
RJOA,HIJ,广岛,132.92,34.437,JP,日本,,,,,,
RJOH,YGJ,米子/美保,133.233,35.5,JP,日本,,,,,,
RJOO,ITM,大阪国际,135.44,34.785,JP,日本,,,,,,
RJOS,TKS,德岛,134.607,34.133,JP,日本,,,,,,
RJOT,TAK,高松,134.015,34.215,JP,日本,,,,,,
RJSA,AOJ,青森,140.688,40.733,JP,日本,,,,,,
RJSF,FKS,福岛,140.428,37.228,JP,日本,,,,,,
RJSI,HNA,花卷,141.135,39.428,JP,日本,,,,,,
RJSN,KIJ,新泻机场,139.112,37.955,JP,日本,,,,,,
RJSS,SDJ,仙台,140.917,38.14,JP,日本,,,,,,
RJTT,HND,日本东京羽田机场,139.782,35.553,JP,日本,,,,,,
RKJJ,KWJ,光州,126.808,35.127,KR,韩国,,,,,,
RKPC,CJU,济州,126.493,33.512,KR,韩国,,,,,,
RKPK,PUS,釜山,128.938,35.18,KR,韩国,,,,,,
RKSI,ICN,首尔仁川机场,126.44,37.463,KR,韩国,,,,,,
RKSS,GMP,首尔金浦机场,126.798,37.557,KR,韩国,,,,,,
RKTN,TAE,大邱,128.658,35.893,KR,韩国,,,,,,
ROAH,OKA,冲绳那霸机场,127.647,26.197,JP,日本,,,,,,
RORS,SHI,下地岛,125.14,24.823,JP,日本,,,,,,
RPLB,SFS,苏比克湾,120.272,14.795,PH,菲律宾,,,,,,
RPLC,CRK,克拉克空军基地,120.56,15.187,RP,菲律宾,,,,,,
RPLL,MNL,马尼拉机场,121.013,14.51,PH,菲律宾,,,,,,
RPMD,DVO,达沃,125.645,7.125,RP,菲律宾,,,,,,
RPMZ,ZAM,三宝颜国际机场,122.06,6.922,PH,菲律宾,,,,,,
RPVM,CEB,拉普拉普／麦克坦国际机场,123.98,10.307,PH,菲律宾,,,,,,
RPVP,PPS,普林塞萨港,118.758,9.742,PH,菲律宾,,,,,,
SBBR,BSB,巴西利亚国际机场,-47.913,-15.863,BR,巴西,,,,,,
SBFZ,FOR,平托马丁斯机场,-38.532,-3.777,BR,巴西,,,,,,
SBGL,GIG,里约热内卢国际机场,-43.25,-22.81,BR,巴西,,,,,,
SBGR,GRU,圣保罗/瓜鲁柳斯国际机场,-46.473,-23.435,BR,巴西,,,,,,
SBNT,NAT,纳塔尔,-35.25,-5.908,BR,巴西,,,,,,
SBRF,REC,瓜拉拉皮斯机场,-34.923,-8.127,BR,巴西,,,,,,
SBSJ,SJK,圣若泽/杜斯坎普斯,-45.872,-23.228,BR,巴西,,,,,,
SBSV,SSA,萨尔瓦多,-38.323,-12.908,BR,巴西,,,,,,
UACC,TSE,阿斯塔那,71.467,51.022,KZ,哈萨克斯坦,,,,,,
UAKK,KGF,卡拉干达,73.335,49.672,KZ,哈萨克斯坦,,,,,,
UATT,AKX,阿克纠宾斯克机场,57.203,50.245,KZ,哈萨克斯坦,,,,,,
UBBB,GYD,巴库,50.047,40.468,AZ,阿塞拜疆,,,,,,
UEEE,YKS,雅库茨克,129.772,62.093,RU,俄罗斯,,,,,,
UHHH,KHV,哈巴罗夫斯克/诺维机场,135.185,48.523,RU,俄罗斯,,,,,,
UHMA,DYR,阿纳德尔,177.738,64.735,RU,俄罗斯,,,,,,
UHMM,GDX,马加丹/索科尔,150.718,59.91,RU,俄罗斯,,,,,,
UHPP,PKC,彼得罗巴甫洛夫斯克-勘察加/叶利佐沃,158.452,53.17,RU,俄罗斯,,,,,,
UHSS,UUS,南萨哈林斯克,142.717,46.888,RU,俄罗斯,,,,,,
UHWW,VVO,符拉迪沃斯托克,132.147,43.398,RU,俄罗斯,,,,,,
UIAA,HTA,赤塔,113.305,52.027,RU,俄罗斯,,,,,,
UIBB,BTK,布拉次克,101.698,56.37,RU,俄罗斯,,,,,,
UIII,IKT,伊尔库茨克机场,104.395,52.267,RU,俄罗斯,,,,,,
UKBB,KBP,基辅/鲍里斯波尔机场,30.895,50.345,UA,乌克兰,,,,,,
ULLI,LED,圣彼得堡普尔科沃机场,30.265,59.8,RU,俄罗斯,,,,,,
UNAA,ABA,阿巴卡,91.385,53.742,RU,俄罗斯,,,,,,
UNKL,KJA,克拉斯诺亚尔斯克叶梅利亚诺沃,92.493,56.172,RU,俄罗斯,,,,,,
UNNT,OVB,新西伯利亚/托尔马乔夫机场,82.652,55.012,RU,俄罗斯,,,,,,
UOOO,NSK,诺里尔斯克,87.333,69.31,RU,俄罗斯,,,,,,
URSS,AER,索契,39.942,43.44,RU,俄罗斯,,,,,,
USCC,CEK,车里雅宾斯克,61.505,55.305,RU,俄罗斯,,,,,,
USPP,PEE,皮尔母,56.027,57.917,RU,俄罗斯,,,,,,
USRR,SGC,苏尔古特,73.403,61.343,RU,俄罗斯,,,,,,
USSS,SVX,叶卡捷林堡/措尔索沃,60.805,56.743,RU,俄罗斯,,,,,,
USTR,TJM,秋明,-65.317,57.168,RU,俄罗斯,,,,,,
UUDD,DME,多莫杰多沃,37.908,55.408,RU,俄罗斯,,,,,,
UUEE,SVO,莫斯科,37.415,55.972,RU,俄罗斯,,,,,,
UUWW,VKO,莫斯科/伏努科沃机场,37.273,55.6,RU,俄罗斯,,,,,,
UUYY,SCW,瑟卡特夫卡尔,50.845,61.647,RU,俄罗斯,,,,,,
UWLW,ULY,乌里扬诺夫斯克,48.805,54.402,RU,俄罗斯,,,,,,
VAAH,AMD,艾哈迈达巴德,72.627,23.072,IN,印度,,,,,,
VABB,BOM,孟买国际机场,72.867,19.092,IN,印度,,,,,,
VANP,NAG,那格浦尔机场,79.048,21.092,IN,印度,,,,,,
VCBI,CMB,科伦坡/班达拉奈克机场,79.885,71.18,LK,斯里兰卡,,,,,,
VDPP,PNH,金边机场,104.86,11.547,KH,柬埔寨,,,,,,
VDSR,REP,西埃姆 雷普,103.813,13.41,KH,柬埔寨,,,,,,
VECC,CCU,加尔格达,88.447,22.653,IN,印度,,,,,,
VHHH,HKG,香港,113.915,22.308,CN,中国,,,,,,
VIDP,DEL,新德里/英迪拉甘地国际机场,77.112,28.568,IN,印度,,,,,,
VILK,LKO,拉力特布尔,80.883,26.762,IN,印度,,,,,,
VMMC,MFM,澳门,113.592,22.15,CN,中国,,,,,,
VNKT,KTM,加德满都/特里布万国际机场,85.358,27.697,NP,尼泊尔,,,,,,
VOBL,BLR,班加罗尔,,,IN,印度,,,,,,
VOMM,MAA,马德拉斯国际机场,80.183,13,IN,印度,,,,,,
VOTV,TRV,特里凡得琅国际机场,76.92,8.48,IN,印度,,,,,,
VRMM,MLE,马累国际机场,73.528,4.192,MV,马尔代夫,,,,,,
VTBS,BKK,曼谷国际机场,100.748,13.687,TH,泰国,,,,,,
VTBU,UTP,乌塔堡机场,101.005,12.68,TH,泰国,,,,,,
VTCC,CNX,清迈国际机场,98.963,18.772,TH,泰国,,,,,,
VTCT,CEI,清涞机场,99.877,19.951,TH,泰国,,,,,,
VTPP,PHS,彭世洛,100.274,16.777,TH,泰国,,,,,,
VTSB,URT,素叻他尼,99.14,9.133,TH,泰国,,,,,,
VTSP,HKT,普吉机场,98.31,8.113,TH,泰国,,,,,,
VTSS,HDY,宋卡,100.395,6.933,TH,泰国,,,,,,
VTUU,UBP,乌纹,104.87,15.252,TH,泰国,,,,,,
VVDN,DAD,岘港,108.2,16.043,VN,越南,,,,,,
VVNB,HAN,河内/内拜国际机场,105.805,21.222,VN,越南,,,,,,
VVTS,SGN,胡志明市机场,106.662,10.82,VN,越南,,,,,,
VYMD,MDL,曼德勒,95.973,21.702,MM,缅甸,,,,,,
VYYY,RGN,仰光敏加拉顿机场,96.135,16.907,MM,缅甸,,,,,,
WAAA,UPG,哈萨努丁机场,119.555,-5.062,ID,印度尼西亚,,,,,,
WABB,BIK,比亚克/弗兰斯凯锡普机场,136.11,-1.192,ID,印度尼西亚,,,,,,
WADD,DPS,巴厘国际机场,115.168,-8.747,ID,印度尼西亚,,,,,,
WARR,SUB,泗水/朱安达机场,112.787,-7.382,ID,印度尼西亚,,,,,,
WBGG,KCH,吉晋机场,110.34,1.485,MY,马来西亚,,,,,,
WIHH,HLP,玛达纳库苏马国际机场,106.887,-6.268,ID,印度尼西亚,,,,,,
WIII,CGK,苏加诺-哈塔国际机场,106.662,-6.123,ID,印度尼西亚,,,,,,
WMKK,KUL,吉隆坡国际机场,101.698,2.743,MY,马来西亚,,,,,,
WMKP,PEN,槟城/槟榔屿机场,100.277,5.297,MY,马来西亚,,,,,,
WSAP,QPG,巴耶利巴机场,103.912,1.36,SG,新加坡,,,,,,
WSSS,SIN,新加坡樟宜机场,103.99,1.36,SG,新加坡,,,,,,
YBAS,ASP,艾丽斯斯普林斯机场,133.902,-23.807,AU,澳大利亚,,,,,,
YBBN,BNE,布里斯班国际机场,153.118,-27.383,AU,澳大利亚,,,,,,
YBCS,CNS,凯恩斯机场,145.755,-16.887,AU,澳大利亚,,,,,,
YMML,MEL,墨尔本,144.843,-37.673,AU,澳大利亚,,,,,,
YPAD,ADL,阿德莱德国际机场,138.53,-34.945,AU,澳大利亚,,,,,,
YPDN,DRW,达尔文,130.877,-12.415,AU,澳大利亚,,,,,,
YSCB,CBR,堪培拉,149.195,-35.307,AU,澳大利亚,,,,,,
YSSY,SYD,悉尼,151.177,33.946,AU,澳大利亚,,,,,,
ZBAA,PEK,北京首都国际机场,116.597,40.072,CN,中国,机场南和东南方向地势平坦，西、北、东北方向临山，距北面山脚最近距离为20千米。北面18千米处有一条人工河与怀柔--昌平公路并行，地标明显易见。1、三、四、十一月份多西、西北大风，并伴有风沙，最大风速达36米/秒。 2、十二月至一月份多雾，通常多在早晨五时出现，九时消散。 3、七、八月份往往连续出现雷雨，其中以七月份最多，出现时间十五时至二十时，十八时最强烈，常伴有强烈的雷电和阵雨，以西北山区最多，西南方向次之。,,,,,
ZBCF,CIF,赤峰,118.908,42.235,CN,中国,本机场位于燕山山脉七老图山东北麓的丘陵地带。地形起伏，净空不好。机场南端进近面内好两侧内水平面内，有多处山包超高，其中磁方位100度距离4823米处的山包超高149米。机场西、南、东三面环山。东北10千米有红山海拔高746米。机场北有京通铁路经过，机场明显易见。航站区域内最高障碍物为山峰，海拔高1518米。3-5月份多大风，平均每月在10天以上。风向多为220-270度之间。最大风速可达30米/秒。因机场东和东北多沙丘，当东北风大于10米/秒时，常伴有风沙使能见度小于3千米。6-7月多锋面雷雨，雷雨多由西北向东南方向移动。冬季11月至次年2月，在弱气压控制下，8时至11时常多烟能见度小于2千米。其余月份天气晴朗。,,,,,
ZBCZ,CIH,长治/王村,113.125,36.248,CN,中国,本场东北至东南方向4千米处为山区，其它方向地势较平坦，在西北方向（磁方位310度、8千米处）有面积较大的水库（中心有一小孤岛）。能见飞行时，地标明显易辩，对寻找机场有很好的辅助作用。1、常年多偏南风，一般最大风速7？9米/秒，春秋季可出现12米/秒以上的大风，夏季雷雨阵风可达19米/秒以上。2、在处于华北入海高压后部时，出现持续的阴雨天气，东北风，能见度尚好，常在10千米左右，春季易发生辐射雾，可持续数天，能见度小于1千米，冬季降连续性小雪，能见度短时小于1千米。3、雷雨通常在五月初出现，六月渐多，七、八月旺盛，九月份减少，一般出现于西北方向，向东或东南方向运动。,,,,,
ZBDS,DSN,鄂尔多斯/ 伊金霍洛,109.863,39.492,CN,中国,,,,,,
ZBDT,DAT,大同/云冈,113.482,40.06,CN,中国,本机场位于恒山山脉以北的桑干河流域。区内有浑河、壶流河、黄水河、十里河等多条河流和桑干河交汇形成的一条宽度为32-50公里的西南-东北走向的河谷地带中，西南方向90公里范围内地势平坦，东北方向为丘岭地带，其它方向地势复杂。冬春两季偏北（西北）大风频繁，最大风速12米/秒，夏季多东南风或西南风，风速较小，本地区少雾，影响能见度的主要因素是烟，其次是浮尘和沙，冬春季节烟常使能见度低于1.5公里，夏季能见度一般较好。雷雨多出现在午后，6-8月最多，伴有大风。,,,,,
ZBHD,HDG,邯郸,114.425,36.525,CN,中国,以京广铁路为界，东侧为平原地区，地势平坦；西侧为丘陵和太行山区，地势复杂，40-50 千米处山高1000-2000 米。因受太行山地区的影响常年多偏北风和偏南风。春秋季降雨后，次日多形成雾。夏季气温早、晚较低，午后较高，最高在38°C - 40°C。能见度一般良好，因受邯郸市烟和雨后影响，北京时间十点钟前多烟和轻雾。雷雨多出现在五月底至八月上旬的午后，多来自西北方向。春季多风沙和大风，最大可达28米/秒，能见度可小于1000 米。,,,,,
ZBHH,HET,呼和浩特/白塔,111.823,40.85,CN,中国,本机场位于大青山山弯里，东、北、西三面环山，东、北两面离山脚25千米，山区平均高度为海拔2100米 ，机场区域内最高障碍物为蛮汗山，海拔高为2304米。本机场为大陆性气候，干旱、多晴天，地方性风为上午多东风，下午为西南风，春季多出现系统大风，尤以西北大风最多，最大风速可达30米/秒。低能见度主要由风沙引起。雷雨集中在6-9月份，7月份最多，低云出现不多，年平均三次。极端最高气温38度(七月)，极端最低气温-36度(一月)。,,,,,
ZBLA,HLD,海拉尔/东山,119.823,49.207,CN,中国,机场位于海拉尔市东南的高地上，西邻依敏河，北有海拉尔市和滨洲铁路，地势开阔。在航站区域内，东北有900米以上的山。春秋季节多西南、西北大风。当风速超过12米/秒时，易起扬沙，能见度变坏(小于2千米)，最大风速可达20米/秒以上。夏季出现气团性雷雨。冬季多降雪，二、三月多吹雪，能见度小于2千米，最低气温可达-48.5度。,,,,,
ZBMZ,NZH,满洲里/西郊,117.332,49.565,CN,中国,地处北国边陲，东、南、西三面地势高，北面地势低，塔台管制区域内最高障碍物海拔高度为1008米。地处欧亚大陆东部的中纬度地区，属中温带半干旱大陆性草原气候。该地区靠近西伯利亚，是我国天气最寒冷的地区之一，全年约有5个月的平均气温在0℃以下，四季温差明显，冬季严寒漫长、夏季温凉短促、春季干旱多大风、秋季降温急剧霜冻早。,,,,,
ZBOW,BAV,包头,109.997,40.56,CN,中国,本机场南有黄河，北靠铁路，东南至西南方向地形较为平坦。西、北、东三面环山，其中东北方向大青山区山势较高，山脚距机场最近距离为6.5千米。在跑道东北侧的障碍物限制面内超高建筑物较多，净空较差。机场区域内最高障碍物为大桦背北山，海拔高为2322米。(一)、气象特征全年多晴天，降水多集中在夏季。雷暴日数年平均40天左右，雷阵雨多出现在夏季的午后和傍晚。冬春季节多西北风，春季多风沙，夏季和秋初多东南风，每年10月到次年3月晚间和早晨地面风力微弱时，常受烟的影响，能见度较差。极端最高温度39℃；极端最低温度-27.2℃。,,,,,
ZBSH,SHP,秦皇岛/山海关,119.73,39.968,CN,中国,本机场北部为山区，南部为海洋。万里长城，京沈铁路、公路及海岸线明显可见。山海关机场近山临海，山区垂直气流较强，能见度差时，天地线不清，夏季飞行海洋性气候多变，而且变化突然。,,,,,
ZBSJ,SJW,石家庄/正定,114.697,38.28,CN,中国,机场位于太行山脉东侧的华北沉降平原西北60千米处有高达1277米的王母观山，东北、东和南面为平原。西有京深高速公路和京广铁路，北有木刀沟和大沙河，南有滹沱河，西南30千米处有石家庄市，地标明显可见。机场地处中纬度地带，具有温带大陆性季风气候特点，四季分明，夏季温热，冬季干冷，历年最高气温43℃，最低气温-26℃，机场基准温度采用31.4℃。影响本地区的气象要素是低能见度、雷雨、大风、浮尘、扬沙等。3月至5月主要受冷锋过境影响，浮尘、扬沙可使能见度迅速下降到1千米以下，但持续时间一般不长；冷锋附近区域易产生颠簸和积冰，对飞行有很大影响。6月至10月，主要是雷雨，大风、冰雹的影响，降水使能见度转坏，雨后水汽蒸发易在清晨产生大雾天气，中午前基本都能好转。10月至1月份，受地形影响，冷空气活动较弱时，易产生大雾和烟，造成低能见度天气，能见度小于800米的天气多出现在这几个月，持续出现可达3－5天，最长可达10天以上。低云高一般为90－300米，低于90米的云极少见。,,,,,
ZBTJ,TSN,天津滨海机场,117.345,39.125,CN,中国,本场四周地形平坦，西面6千米为天津市区，东面30千米为渤海湾，北临京山北环铁路，南临京山铁路，机场周围烟囱、铁塔、水塔等人工障碍物较多。1、冬春两季偏北(西北)大风频繁，最大风速有时可达36米/秒，夏季多南风或西南风，风速较小。 2、冬春季节本场受烟雾影响，能见度较差，最小在2千米以下，夏季能见度一般较好。 3、夏季低云降雨较多，东风回流低云云高一般在200米以下，最低可达40米。 4、雷雨集中在七、八两月，有时伴有冰雹和大风。,,,,,
